City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,40.65799999999996,75,75,11.83,AR,1669704740
1,ponta do sol,32.6667,-17.1,66.82999999999998,73,23,1.7,PT,1669704947
2,lagoa,39.05,-27.9833,63.96800000000002,89,0,9.51,PT,1669704947
3,georgetown,5.4112,100.3354,87.74600000000004,74,20,4.12,MY,1669704698
4,terrace,54.5163,-128.6035,17.510000000000048,67,20,0.0,CA,1669704778
5,mayo,38.8876,-76.5119,44.97800000000001,81,75,2.57,US,1669704948
6,kieta,-6.2167,155.6333,82.05799999999994,79,91,2.48,PG,1669704949
7,albany,42.6001,-73.9662,34.66399999999999,83,4,2.0,US,1669704949
8,marrakesh,31.6315,-8.0083,48.27199999999999,66,0,2.57,MA,1669704950
9,butaritari,3.0707,172.7902,81.32,75,20,4.32,KI,1669704951
10,rikitea,-23.1203,-134.9692,73.00399999999996,71,7,4.84,PF,1669704951
11,olinda,-8.0089,-34.8553,76.72999999999996,83,75,2.06,BR,1669704951
12,vao,-22.6667,167.4833,78.87200000000001,84,83,6.65,NC,1669704952
13,pandharpur,17.6667,75.3333,84.95599999999996,34,3,2.1,IN,1669704952
14,busselton,-33.65,115.3333,82.94,33,0,2.46,AU,1669704953
15,port elizabeth,-33.918,25.5701,83.10200000000003,72,0,5.66,ZA,1669704953
16,healdsburg,38.6105,-122.8692,47.299999999999955,76,12,1.79,US,1669704954
17,huarmey,-10.0681,-78.1522,67.13600000000002,82,29,1.24,PE,1669704954
18,norman wells,65.282,-126.8329,-9.939999999999998,97,100,1.8,CA,1669704954
19,cape town,-33.9258,18.4232,78.88999999999993,54,0,6.69,ZA,1669704691
20,nikolskoye,59.7035,30.7861,26.798000000000002,95,100,1.9,RU,1669704955
21,liverpool,53.4106,-2.9779,42.81800000000004,96,100,1.34,GB,1669704955
22,punta arenas,-53.15,-70.9167,42.90799999999996,70,0,11.83,CL,1669704956
23,itacare,-14.2775,-38.9967,72.66199999999998,93,100,2.6,BR,1669704956
24,hasaki,35.7333,140.8333,70.19599999999997,74,97,13.45,JP,1669704957
25,port lincoln,-34.7333,135.8667,62.47399999999999,61,11,6.41,AU,1669704957
26,rudnogorsk,57.2639,103.7519,-1.6959999999999695,90,100,4.29,RU,1669704958
27,atuona,-9.8,-139.0333,77.77399999999994,73,4,5.29,PF,1669704958
28,bluff,-46.6,168.3333,59.81,90,100,4.98,NZ,1669704958
29,victoria,22.2855,114.1577,86.05400000000003,84,0,2.71,HK,1669704959
30,vaini,-21.2,-175.2,80.762,78,20,4.12,TO,1669704959
31,codrington,-38.2667,141.9667,58.622000000000014,69,89,5.46,AU,1669704960
32,mataura,-46.1927,168.8643,59.48600000000005,84,100,0.58,NZ,1669704960
33,lima,-12.0432,-77.0282,64.65199999999999,88,100,2.57,PE,1669704807
34,cherskiy,68.75,161.3,5.521999999999991,96,100,2.59,RU,1669704961
35,chumikan,54.7183,135.315,-0.5440000000000396,68,100,2.23,RU,1669704961
36,luderitz,-26.6481,15.1594,64.39999999999992,77,37,3.68,NA,1669704961
37,otjimbingwe,-22.35,16.1333,77.61200000000002,18,100,1.13,NA,1669704962
38,noumea,-22.2763,166.4572,80.58199999999994,85,100,0.72,NC,1669704955
39,bengkulu,-3.8004,102.2655,83.67800000000005,71,100,3.84,ID,1669704963
40,arraial do cabo,-22.9661,-42.0278,72.69800000000004,93,99,9.26,BR,1669704963
41,daru,-9.0763,143.2092,80.81599999999997,83,100,1.94,PG,1669704964
